Country,Province/State,Study Pop Size (N),Proportion of values entered in row (%),Study Type: Observational or Randomized Clinical Trial (RCT)?,Study length (days),Overall study population or subgroup?,Subgroup,Positive/negative cases,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
China,Wuhan,191,0.6011,Observational,33,Top-level,General,Positive only,Both,Both,Yes,Both,All,Both,56,,,46,67,,0.623,0,0,1,0,0,0.38,,,,,,,,11,8,14,0.0576,,,,0.476,0.3,0.19,0.08,0.03,0.0168,,,0.0168,0.12,0.94,,,0.29,0.79,,,0.23,0.15,0.2303,,0.0471,0.04,,,,,,,0.377,0.3455,0.2775,,6.2,4.5,9.5,1,0.6,1.3,,,206,155,262,,,,128,119,140,,32.3,30,,,,,,,21.5,,,7.4,0.1,0.8,11.6,0.9476,0.2147,0.2147,0,0,,0,0,0,0.2984,0.2408,,0.2147,,0.1361,0.1675,0.0157,0.0524,0,,0.5864,,0.5393,0.3089,,0.2304,0.199,,0.1937,0.1728,0.1466,0.1466,0.1152,0.089,1,0.26,0.72,8,11,20,0.28,0.28
China,Wuhan,54,0.6011,Observational,33,Subgroup,Non-survivors,Positive only,Non-survivors only,Discharged only,Yes,Both,Severe/Critical Only,Both,69,,,63,76,,0.7037,0,0,1,0,0,0.2593,,,,,,,,11,8,15,0.0926,,,,0.6667,0.4815,0.3148,0.2407,0.0741,0,,,0.037,0.2037,0.9444,,,0.6296,0.7222,,,0.2593,0.1481,0.2778,,0.037,0.0556,,,,,,,0,0.2222,0.7778,,9.8,6.9,13.9,0.6,0.5,0.8,,,165.5,107,229,,,,126,115,138,,29.1,40,,,,,,,39,,,11,0.1,5.2,12.1,0.9815,0.2222,0.2222,0,0,,0,0,0,0.4815,0.6667,,0.6111,,0.4444,0.5741,0.0556,0.1852,0,,1,,0.9815,0.9259,,0.5185,0.7037,,0.5,0.5926,0.5,0.5,0.3704,0.2963,1,0.72,0,8,7.5,7.5,1,1
China,Wuhan,137,0.6011,Observational,33,Subgroup,Survivors,Positive only,Survivors only,Discharged only,Yes,Both,All,Both,52,,,45,58,,0.5912,0,0,1,0,0,0.4307,,,,,,,,11,8,13,0.0438,,,,0.4015,0.2336,0.1387,0.0146,0.0146,0.07,,,0,0.0803,0.9416,,,0.1606,0.8175,,,0.219,0.1533,0.2117,,0.0511,0.0292,,,,,,,0.5255,0.3942,0.0803,,5.2,4.3,7.7,1.1,0.8,1.5,,,220,168,271,,,,128,120,140,,33.6,27,,,,,,,18,,,6.3,0.1,0.6,11.4,0.9343,0.2117,0.2127,0,0,,0,0,0,0.2263,0.073,,0.0584,,0.0146,0.0073,0,0,0,,0.4234,,0.365,0.0657,,0.1168,0,,0.073,0.0073,0.0073,0.0073,0.0146,0.0073,1,0.08,1,7,12,20,0,0
China,Wuhan,199,0.4494,RCT,16,Top-level,General,Positive only,Both,Both,Yes,Both,All,Both,58,,,49,68,,0.603,0,0,1,0,0,,,,,,,,,13,11,16,,,,,,,0.116,,,0.03,,0.065,,,0.915,36.5,,0.188,,,,,,,,0.0206,0.0425,0.01,,,,,,,,,,7,5.1,9.4,0.9,0.6,1.2,,,207,158,284,,,,,,,,,33,34,,,,,69.5,69,,,,,,,0.95,0.47,0.47,0,0,,0,0,0,0.337,,,,,0.146,0.161,0.02,0.045,,,0.0049,0.201,,,,0.0051,0.0205,,,,0.0468,0.0365,,,1,,0.72,10,15,28,0.16,0.18
China,Wuhan,99,0.4494,RCT,16,Subgroup,With treatment,Positive only,Both,Both,Yes,Both,All,Both,58,,,50,68,,0.616,0,0,1,0,0,,,,,,,,,13,11,17,,,,,,,0.101,,,0.051,,0.051,,,0.899,36.5,,0.216,,,,,,,,0.042,0.095,0.021,,,,,,,,,,7.3,5.3,9.6,0.8,0.6,1.4,,,201,155,287,,,,,,,,,33,33,,,,,70.7,57,,,,,,,0.949,0.949,0.949,0,0,,0,0,0,0.323,,,,,0.101,0.141,0.02,0.03,,,0,0.126,,,,0,0.021,,,,0.032,0.011,,,1,,0.75,6,14,28,0.15,0.17
China,Wuhan,100,0.4494,RCT,16,Subgroup,Control,Positive only,Both,Both,Yes,Both,All,Both,58,,,48,68,,0.59,0,0,1,0,0,,,,,,,,,13,10,16,,,,,,,0.13,,,0.01,,0.08,,,0.93,36.5,,0.16,,,,,,,,0,0,0,,,,,,,,,,6.9,4.9,9.1,0.9,0.5,1.2,,,210,163,269.5,,,,,,,,,34,34,,,,,67.4,72,,,,,,,0.95,0,0,0,0,,0,0,0,0.35,,,,,0.191,0.18,0.02,0.06,,,0.01,0.273,,,,0.01,0.02,,,,0.061,0.061,,,1,,0.7,11,16,28,0.17,0.2
China,Wuhan,81,0.4663,Observational,50,Top-level,General,Positive only,Both,Both,No,Both,All,Both,50,49.5,11,,,,0.52,0,0,1,0,0,0.38,0.38,,,,,,,,,,,,,,0.26,0.15,0.12,0.1,0.11,0.05,0.09,0.07,0.04,0.16,0.73,37.93,37.93,,0.59,0.42,0.06,0.19,0.09,0.09,,0.04,0.05,0.01,,,,,0.1851,,,,1,8.1,4.7,11.5,1.1,0.8,1.4,,,212.2,112.5,311.9,,,,123.9,111.9,135.9,,32.9,46.2,40.8,11.9,8.3,15.5,,75.4,,47.6,6.4,,,6.5,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.77,,23.2,,0.04,0.05
China,Wuhan,15,0.4494,Observational,50,Subgroup,Subclinical,Positive only,Both,Both,No,Both,All,Both,44.9,44.9,9,,,,0.27,0,0,1,0,0,0,0,,,,,,,,,,,,,,0.27,0.13,0.2,0.2,0.07,0.07,0,0.07,0,0.07,0,,36.6,,0,0,0,0,0,0,,0,0,0,,,,,1,0,0,0,1,8,5.5,10.5,1.1,0.8,1.4,,,202.9,135.5,270.3,,,,125.1,111.6,138.6,,,30.8,30.2,9.2,8.6,9.8,,63.7,,6.9,6.4,,,6.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,
China,Wuhan,21,0.4382,Observational,50,Subgroup,Scans done <= 1 week after symptom onset,Positive only,Both,Both,No,Both,All,Both,48.8,48.8,13,,,,0.52,0,0,1,0,0,0.38,0.38,,,,,,,,,,,,,,0.24,0.05,0.1,0.05,0.14,0.05,0.1,0.05,0,0.15,0.86,,38.1,,0.71,0.43,0.1,0.14,0.05,0.09,,0.05,0.1,0.05,,,,,0,,,,1,7.8,4.2,11.4,1,0.7,1.3,,,213.5,112.7,314.3,,,,126.7,113.3,140.1,,34,50.6,47.7,14.1,9.8,18.4,,68,,61.4,5.2,,,6.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,
China,Wuhan,30,0.4382,Observational,50,Subgroup,Scans done 1-2 weeks after symptom onset,Positive only,Both,Both,No,Both,All,Both,52.3,52.3,13,,,,0.67,0,0,1,0,0,0.47,0.47,,,,,,,,,,,,,,0.3,0.23,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.2,0.9,,38.2,,0.7,0.43,0.07,0.2,0.13,0.05,,0.03,0.07,0,,,,,0,,,,1,8.4,4.9,11.9,1.1,0.8,1.4,,,206.8,110.7,302.9,,,,119.6,106.8,132.4,,30.1,48.7,42.7,11.9,8,15.8,,115.4,,71.3,6.8,,,5.8,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,0.07,
