Subgroup,Study Pop Size (N),Proportion of values entered in row (%),Study length (days),Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
10yo Man (C7),1,0.5225,13,10,10,12.5051,10,10,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,8,8,8,8,0.1019,0.0905,25.4143,0.224,0.4903,0,0,0,0,0,0,0,0,0.159,0,37.9757,38.468,0.2547,0,0.2963,0,0.2766,0,0.34,0.1423,0,0,0.1281,0.2127,0,0.1242,0,0,0,1,0,1,6.72,6.72,6.72,3.79,3.79,3.79,311.5119,210.0112,196,196,196,2.26,2.26,2.26,119.1249,109.3857,130.8263,23.0078,46.4,32.8,34.7,11.2484,7.2282,16.2174,7.65,65.2408,70,5,24.443,35.3991,0.02,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,0,0,0.0379,0.0883,0.6237,0.1518,0.1073,0,0,0,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,1,6.9554,7,14.9137,0.17,0
13 Family clusters,37,0.2528,26,58,54.65,16.3,48,78,0.1951,0.486,0,0,1,0,0,1,0.7568,0.2432,6.6372,5.9596,4.2384,8.2039,6.6032,6.9997,5.1176,10.8354,0.1019,0.0905,25.4143,0.224,0.4903,0.2976,0.161,0.1464,0.0698,0.0731,0.037,0.1027,0.0462,0.159,0.567,37.9757,38.468,0.2547,0.459,0.2963,0.1224,0.2766,0.2247,0.189,0.1423,0.1494,0.1048,0.1281,0.2127,0.1659,0.1242,0.0429,0.0766,0.38,0.2703,0.0811,5.5109,6.028,4.7284,7.7219,1.5565,1.3256,2.0002,311.5119,210.0112,184.9906,143.5127,232.3308,6.8055,6.771,9.8298,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,96.7435,39.318,24.443,35.3991,2.0394,82.3308,12.7423,0.7431,0.8458,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0.3387,0.2462,0.4612,0.414,0.6681,0.1923,0.2738,0.0379,0.0883,0.6237,0.1518,0.1073,0.3691,0.2604,0.261,0.1082,0.0956,0.0982,0.1817,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,0.38,0.08,0.03,6.9554,15.3569,14.9137,0,0
19yo Man (C2),1,0.5281,15,19,19,12.5051,19,19,0.1951,1,0.0976,0.0198,0.877,0.008,0.0077,1,1,0,6.6372,5.9596,4.2384,8.2039,6,6,6,6,0.1019,0.0905,25.4143,0.224,0,0,0,0,0,0,0,0,0,0,1,37.9757,38.468,0,1,0.2963,0.1224,0,0.2247,1,1,1,0.1048,0.1281,1,0.1659,0.1242,0.0429,0,1,0,0,100,6.48,6.48,6.48,30.6,30.6,30.6,311.5119,210.0112,184.9906,143.5127,232.3308,57,57,57,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,96.7435,39.318,24.443,35.3991,2.0394,82.3308,12.7423,1,1,1,0,0,0,0.0966,1,0,0,0,1,1,1,0,0,0.0379,0.0883,0.6237,0.1518,0,0,0,0,0,0,0,0,0,0,0,0,0.0498,0.0495,0.9475,0.3354,1,6.9554,9,14.9137,0,0
32yo Man (C1),1,0.5281,15,32,32,12.5051,32,32,0.1951,1,0.0976,0.0198,0.877,0.008,0.0077,1,1,0,6.6372,5.9596,4.2384,8.2039,11,11,11,11,0.1019,0.0905,25.4143,0.224,0,0,0,0,0,0,1,0,0,0,1,37.9757,38.468,0,0,0.2963,0.1224,0,0.2247,1,0,0,0.1048,0.1281,0,0.1659,0.1242,0.0429,0,1,0,0,100,4.23,4.23,4.23,30.3,30.3,30.3,311.5119,210.0112,184.9906,143.5127,232.3308,57.2,57.2,57.2,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,96.7435,39.318,24.443,35.3991,2.0394,82.3308,12.7423,1,1,1,0,0,0,0.0966,1,0,0,0,1,1,1,0,0,0.0379,0.0883,0.6237,0.1518,0,0,0,0,0,0,0,0,0,0,0,0,0.0498,0.0495,0.9475,0.3354,1,6.9554,7,14.9137,0,0
35yo Man (C8),1,0.5056,13,35,35,12.5051,35,35,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,7,7,7,7,0.1019,0.0905,25.4143,0.224,0.4903,0,0,0,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,0,0,0.1281,0.2127,0,0.1242,0,0,0,1,0,1,4.62,4.62,4.62,1.59,1.59,1.59,311.5119,210.0112,236,236,236,2.62,2.62,2.62,119.1249,109.3857,130.8263,23.0078,43.4,22.4,28.9,11.2484,7.2282,16.2174,4.21,65.2408,96.7435,35.6,24.443,35.3991,0.03,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,0,0,0.0379,0.0883,0.6237,0.1518,0.1073,0,0,0,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0,6.9554,15.3569,14.9137,0.17,0.2327
36yo Man (C6),1,0.5225,13,36,36,12.5051,36,36,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,15,15,15,15,0.1019,0.0905,25.4143,0.224,0.4903,0,0,0,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,1,1,0.1281,0.2127,0,0.1242,0,0,0,1,0,1,13.55,13.55,13.55,2.37,2.37,2.37,311.5119,210.0112,250,250,250,10.49,10.49,10.49,119.1249,109.3857,130.8263,23.0078,48.9,30,29.3,11.2484,7.2282,16.2174,6.65,65.2408,111,5.8,24.443,35.3991,0.02,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,0,0,0.0379,0.0883,0.6237,0.1518,0.1073,0,0,0,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,1,6.9554,7,14.9137,0.17,0
5-16 years old,26,0.3034,44,52.2121,50.7516,12.5051,43.5597,60.5411,0.1951,0.65,0,0,1,0,0,1,0.38,0.85,6.6372,5.9596,4.2384,8.2039,6.6032,6.9997,5.1176,10.8354,0.1019,0.0905,25.4143,0.224,0.4903,0.2976,0.161,0.1464,0.0698,0.0731,0.037,0.1027,0.0462,0.159,0.38,37.9,38.468,0.2547,0.23,0.2963,0.1224,0.2766,0.2247,0.34,0.1423,0.1494,0.1048,0.1281,0.2127,0.1659,0.1242,0.0429,0.0766,1,0.2956,0.3012,0,5.9,3.9,7.9,5.9,3.9,7.9,311.5119,210.0112,184.9906,143.5127,232.3308,6.8055,6.771,9.8298,119.1249,109.3857,130.8263,23.0078,37.4577,29.0444,34.4498,11.2484,7.2282,16.2174,6.3544,65.2408,85,5,24.443,35.3991,0.28,0.32,12.7423,0.7431,0.8458,0.5,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0.3387,0.2462,0.4612,0.414,0.19,0,0,0.0379,0.0883,1,0.1518,0.1073,0.3691,0.2604,0.261,0.1082,0.0956,0.0982,0.1817,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0.5124,6.9554,15,11,0,0.2327
51yo Man (C9),1,0.5169,13,51,51,12.5051,51,51,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,13,13,13,13,0.1019,0.0905,25.4143,0.224,0.4903,0,0,0,0,0,0,0,0,0.159,0,37.9757,38.468,0.2547,1,0.2963,0,0.2766,1,0.34,0.1423,0,0,0.1281,0.2127,1,0.1242,0,0,0,1,0,1,4.94,4.94,4.94,1.45,1.45,1.45,50.2,24.9,184,184,184,3.18,3.18,3.18,119.1249,109.3857,130.8263,23.0078,46.2,39.5,37.7,11.2484,7.2282,16.2174,3.71,65.2408,96.7435,13,24.443,35.3991,0.02,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,0,0,0.0379,0.0883,0.6237,0.1518,0.1073,0,0,0,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0,6.9554,15.3569,14.9137,0.17,0.2327
56yo Woman (C12),1,0.5169,13,56,56,12.5051,56,56,0.1951,0,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,6,6,6,6,0.1019,0.0905,25.4143,0.224,0.4903,0,1,0,0,0,0,0,0,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,0,0,0.1281,0.2127,0,0.1242,0,0,0,1,0,1,3.98,3.98,3.98,0.83,0.83,0.83,43,17.4,152,152,152,3,3,3,119.1249,109.3857,130.8263,23.0078,38.4,23.6,36.1,11.2484,7.2282,16.2174,3.12,65.2408,96.7435,28.4,24.443,35.3991,0.03,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,0,0,0.0379,0.0883,0.6237,0.1518,0.1073,0,0,0,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0,6.9554,15.3569,14.9137,0.17,0.2327
62yo Man (C3),1,0.5225,13,62,62,12.5051,62,62,0.1951,1,0,0,1,0,0,1,1,0,6.6372,5.9596,4.2384,8.2039,4,4,4,4,0.1019,0.0905,25.4143,0.224,0.4903,0,0,1,0,0,0,0,1,0.159,1,37.9757,38.468,0.2547,1,0.2963,0,0.2766,0,0.34,0.1423,1,0,0.1281,0.2127,1,0.1242,0,0,0,1,0,1,3.85,3.85,3.85,0.83,0.83,0.83,41.2,11.6,121,121,121,2.26,2.26,2.26,119.1249,109.3857,130.8263,23.0078,41.6,26,26,11.2484,7.2282,16.2174,5.51,65.2408,97,52.95,24.443,35.3991,0.1,82.3308,12.7423,0.7431,1,0.4585,0.0294,0.1606,0.1982,0.0966,0.294,0.1077,0,0,0.4612,0.414,0.6681,1,0,0.0379,0.0883,0.6237,0.1518,0.1073,1,0,1,0.1082,0,0,0,0.0798,0.1364,0.1116,0.1314,0.0498,0.0495,1,0,0,6.9554,15.3569,14.9137,0.17,0.2327
