Subgroup,Study Pop Size (N),Proportion of values entered in row (%),Study length (days),Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
10yo Man (C7),1.0,0.5225,13.0,10.0,10.0,12.50512699062937,10.0,10.0,0.19506666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,8.0,8.0,8.0,8.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15895560975609752,0.0,37.97568421052632,38.46796491228069,0.2547387755102041,0.0,0.2963363636363635,0.0,0.27658539325842696,0.0,0.3399516806722689,0.14227399999999998,0.0,0.0,0.12811489361702127,0.21269771428571435,0.0,0.12419999999999999,0.0,0.0,0.0,1.0,0.0,1.0,6.72,6.72,6.72,3.79,3.79,3.79,311.51186046511634,210.01124999999996,196.0,196.0,196.0,2.26,2.26,2.26,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,46.4,32.8,34.7,11.248437500000001,7.228165137614675,16.217363636363636,7.65,65.24082872928179,70.0,5.0,24.443,35.39912280701754,0.02,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.0,0.0,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.0,0.0,0.0,0.10818571428571429,0.0,0.0,0.0,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,1.0,6.955400000000001,7.0,14.913725490196079,0.16995661605206075,0.0
13 Family clusters,37.0,0.2528,26.0,58.0,54.65,16.3,48.0,78.0,0.19506666666666667,0.486,0.0,0.0,1.0,0.0,0.0,1.0,0.7568,0.2432,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.29759942028985514,0.1610394520547945,0.14639411764705887,0.06978344594594593,0.07309664179104476,0.037001818181818164,0.10271027027027027,0.04621775362318841,0.15895560975609752,0.5670000000000001,37.97568421052632,38.46796491228069,0.2547387755102041,0.45899999999999996,0.2963363636363635,0.12239550000000006,0.27658539325842696,0.22474976744186034,0.18899999999999997,0.14227399999999998,0.14943413793103458,0.10479531250000007,0.12811489361702127,0.21269771428571435,0.1659121951219512,0.12419999999999999,0.04290000000000001,0.07663650793650793,0.38,0.2703,0.0811,5.510903426791277,6.028046357615899,4.728365019011406,7.721877394636018,1.5564820846905538,1.3256249999999998,2.0001562499999994,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,0.8457750000000002,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.27383244444444454,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.3690701149425287,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584158,0.1816639534883721,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,0.38,0.08,0.03,6.955400000000001,15.356901408450709,14.913725490196079,0.0,0.0
19yo Man (C2),1.0,0.5281,15.0,19.0,19.0,12.50512699062937,19.0,19.0,0.19506666666666667,1.0,0.09761794871794874,0.019841577825159915,0.8769964360587003,0.007969298245614036,0.007665738758029979,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.0,6.0,6.0,6.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.97568421052632,38.46796491228069,0.0,1.0,0.2963363636363635,0.12239550000000006,0.0,0.22474976744186034,1.0,1.0,1.0,0.10479531250000007,0.12811489361702127,1.0,0.1659121951219512,0.12419999999999999,0.04290000000000001,0.0,1.0,0.0,0.0,100.0,6.48,6.48,6.48,30.6,30.6,30.6,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,57.0,57.0,57.0,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,1.0,1.0,1.0,0.0,0.0,0.0,0.0966,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049813333333333334,0.049506666666666664,0.9474846625766872,0.3354298642533936,1.0,6.955400000000001,9.0,14.913725490196079,0.0,0.0
32yo Man (C1),1.0,0.5281,15.0,32.0,32.0,12.50512699062937,32.0,32.0,0.19506666666666667,1.0,0.09761794871794874,0.019841577825159915,0.8769964360587003,0.007969298245614036,0.007665738758029979,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,11.0,11.0,11.0,11.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,37.97568421052632,38.46796491228069,0.0,0.0,0.2963363636363635,0.12239550000000006,0.0,0.22474976744186034,1.0,0.0,0.0,0.10479531250000007,0.12811489361702127,0.0,0.1659121951219512,0.12419999999999999,0.04290000000000001,0.0,1.0,0.0,0.0,100.0,4.23,4.23,4.23,30.3,30.3,30.3,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,57.2,57.2,57.2,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,1.0,1.0,1.0,0.0,0.0,0.0,0.0966,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049813333333333334,0.049506666666666664,0.9474846625766872,0.3354298642533936,1.0,6.955400000000001,7.0,14.913725490196079,0.0,0.0
35yo Man (C8),1.0,0.5056,13.0,35.0,35.0,12.50512699062937,35.0,35.0,0.19506666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,7.0,7.0,7.0,7.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15895560975609752,1.0,37.97568421052632,38.46796491228069,0.2547387755102041,1.0,0.2963363636363635,0.0,0.27658539325842696,0.0,0.3399516806722689,0.14227399999999998,0.0,0.0,0.12811489361702127,0.21269771428571435,0.0,0.12419999999999999,0.0,0.0,0.0,1.0,0.0,1.0,4.62,4.62,4.62,1.59,1.59,1.59,311.51186046511634,210.01124999999996,236.0,236.0,236.0,2.62,2.62,2.62,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,43.4,22.4,28.9,11.248437500000001,7.228165137614675,16.217363636363636,4.21,65.24082872928179,96.74351562499999,35.6,24.443,35.39912280701754,0.03,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.0,0.0,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.0,0.0,0.0,0.10818571428571429,0.0,0.0,0.0,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,0.0,6.955400000000001,15.356901408450709,14.913725490196079,0.16995661605206075,0.23270114942528736
36yo Man (C6),1.0,0.5225,13.0,36.0,36.0,12.50512699062937,36.0,36.0,0.19506666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,15.0,15.0,15.0,15.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15895560975609752,1.0,37.97568421052632,38.46796491228069,0.2547387755102041,1.0,0.2963363636363635,0.0,0.27658539325842696,0.0,0.3399516806722689,0.14227399999999998,1.0,1.0,0.12811489361702127,0.21269771428571435,0.0,0.12419999999999999,0.0,0.0,0.0,1.0,0.0,1.0,13.55,13.55,13.55,2.37,2.37,2.37,311.51186046511634,210.01124999999996,250.0,250.0,250.0,10.49,10.49,10.49,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,48.9,30.0,29.3,11.248437500000001,7.228165137614675,16.217363636363636,6.65,65.24082872928179,111.0,5.8,24.443,35.39912280701754,0.02,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.0,0.0,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.0,0.0,0.0,0.10818571428571429,0.0,0.0,0.0,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,1.0,6.955400000000001,7.0,14.913725490196079,0.16995661605206075,0.0
5-16 years old,26.0,0.3034,44.0,52.212129823769246,50.75159056586644,12.50512699062937,43.559684541639996,60.54107364679062,0.19506666666666667,0.65,0.0,0.0,1.0,0.0,0.0,1.0,0.38,0.85,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.29759942028985514,0.1610394520547945,0.14639411764705887,0.06978344594594593,0.07309664179104476,0.037001818181818164,0.10271027027027027,0.04621775362318841,0.15895560975609752,0.38,37.9,38.46796491228069,0.2547387755102041,0.23,0.2963363636363635,0.12239550000000006,0.27658539325842696,0.22474976744186034,0.3399516806722689,0.14227399999999998,0.14943413793103458,0.10479531250000007,0.12811489361702127,0.21269771428571435,0.1659121951219512,0.12419999999999999,0.04290000000000001,0.07663650793650793,1.0,0.2955552631578946,0.3012145539906103,0.0,5.9,3.9,7.9,5.9,3.9,7.9,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,85.0,5.0,24.443,35.39912280701754,0.28,0.32,12.742307692307692,0.7431457317073171,0.8457750000000002,0.5,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.19,0.0,0.0,0.03792926829268293,0.08833775510204081,1.0,0.15182777777777776,0.10729787234042555,0.3690701149425287,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584158,0.1816639534883721,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,0.5123785166240408,6.955400000000001,15.0,11.0,0.0,0.23270114942528736
51yo Man (C9),1.0,0.5169,13.0,51.0,51.0,12.50512699062937,51.0,51.0,0.19506666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,13.0,13.0,13.0,13.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15895560975609752,0.0,37.97568421052632,38.46796491228069,0.2547387755102041,1.0,0.2963363636363635,0.0,0.27658539325842696,1.0,0.3399516806722689,0.14227399999999998,0.0,0.0,0.12811489361702127,0.21269771428571435,1.0,0.12419999999999999,0.0,0.0,0.0,1.0,0.0,1.0,4.94,4.94,4.94,1.45,1.45,1.45,50.2,24.9,184.0,184.0,184.0,3.18,3.18,3.18,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,46.2,39.5,37.7,11.248437500000001,7.228165137614675,16.217363636363636,3.71,65.24082872928179,96.74351562499999,13.0,24.443,35.39912280701754,0.02,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.0,0.0,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.0,0.0,0.0,0.10818571428571429,0.0,0.0,0.0,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,0.0,6.955400000000001,15.356901408450709,14.913725490196079,0.16995661605206075,0.23270114942528736
56yo Woman (C12),1.0,0.5169,13.0,56.0,56.0,12.50512699062937,56.0,56.0,0.19506666666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.0,6.0,6.0,6.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15895560975609752,1.0,37.97568421052632,38.46796491228069,0.2547387755102041,1.0,0.2963363636363635,0.0,0.27658539325842696,0.0,0.3399516806722689,0.14227399999999998,0.0,0.0,0.12811489361702127,0.21269771428571435,0.0,0.12419999999999999,0.0,0.0,0.0,1.0,0.0,1.0,3.98,3.98,3.98,0.83,0.83,0.83,43.0,17.4,152.0,152.0,152.0,3.0,3.0,3.0,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,38.4,23.6,36.1,11.248437500000001,7.228165137614675,16.217363636363636,3.12,65.24082872928179,96.74351562499999,28.4,24.443,35.39912280701754,0.03,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.0,0.0,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.0,0.0,0.0,0.10818571428571429,0.0,0.0,0.0,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,0.0,6.955400000000001,15.356901408450709,14.913725490196079,0.16995661605206075,0.23270114942528736
62yo Man (C3),1.0,0.5225,13.0,62.0,62.0,12.50512699062937,62.0,62.0,0.19506666666666667,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,4.0,4.0,4.0,4.0,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.15895560975609752,1.0,37.97568421052632,38.46796491228069,0.2547387755102041,1.0,0.2963363636363635,0.0,0.27658539325842696,0.0,0.3399516806722689,0.14227399999999998,1.0,0.0,0.12811489361702127,0.21269771428571435,1.0,0.12419999999999999,0.0,0.0,0.0,1.0,0.0,1.0,3.85,3.85,3.85,0.83,0.83,0.83,41.2,11.6,121.0,121.0,121.0,2.26,2.26,2.26,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,41.6,26.0,26.0,11.248437500000001,7.228165137614675,16.217363636363636,5.51,65.24082872928179,97.0,52.95,24.443,35.39912280701754,0.1,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.0,0.0,0.4612266666666666,0.4139693693693694,0.6681219298245614,1.0,0.0,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,1.0,0.0,1.0,0.10818571428571429,0.0,0.0,0.0,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,1.0,0.0,0.0,6.955400000000001,15.356901408450709,14.913725490196079,0.16995661605206075,0.23270114942528736
