Province/State,Study Pop Size (N),Proportion of values entered in row (%),Study length (days),Median Age,Mean Age,Age SD,Age LQ,Age UQ,% Healthcare Worker,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Exposure history (%),Exposure - Wuhan Travel (%),Exposure - Personal Contact (%),Incubation period (days) - Mean,Incubation period (days) - Median,Incubation period (days) - LQ,Incubation period (days) -  Higher Quartile,Time From Symptoms Appearance to Hospitalization (days) - Mean,Time From Symptoms Appearance to Hospitalization (days) - Median,Time From Symptoms Appearance to Hospitalization (days) - LQ,Time From Symptoms Appearance to Hospitalization (days) - UQ,Smoking history,Current drinker,BMI,Obesity,Any Comorbidity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever,Average temperature (celsius),Max temperature (celsius),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Disease Severity General,Disease Severity Severe,Disease Severity Critical,"Imaging Findings Available? (yes=1, no=0)",White Blood Cell Count (10^9/L) - Median,White Blood Cell Count (10^9/L) - LQ,White Blood Cell Count (10^9/L) - UQ,Lymphocyte Count (10^9/L) - Median,Lymphocyte Count (10^9/L) - LQ,Lymphocyte Count (10^9/L) - UQ,CD4+ T Lymphocyte (Count),CD8+ T Lymphocyte (Count),Platelet Count (10^9/L) - Median,Platelet Count (10^9/L) - LQ,Platelet Count (10^9/L) - UQ,Neutrophil Count (10^9/L) - Median,Neutrophil Count (10^9/L) - LQ,Neutrophil Count (10^9/L) - UQ,Hemoglobin (g/L) - Median,Hemoglobin (g/L) - LQ,Hemoglobin (g/L) - UQ,Hematocrit (%),Albumin (g/L),Alanine Aminotransferase (U/L),Aspartate Aminotransferase (U/L),Total Bilirubin (umol/L) - Median,Total Bilirubin (umol/L) - LQ,Total Bilirubin (umol/L) - UQ,Blood Urea Nitrogen (mmol/L),Creatinine,Creatine Kinase (U/L),C-Reactive Protein (mg/L),Gamma-Glutamyl Transferase (U/L),Interleukin-6 (pg/mL),Procalcitonin (ng/mL),D-Dimer (mg/L),Prothrombin Time (s),Antibiotic,Antiviral (Any),Uses Kaletra,Uses Favipiravir,Uses Tamiflu (oseltamivir),Uses Remdesivir,Uses umif+lop-rit,Uses Arbidol (umifenovir),Uses hydroxychloroquine and/or chloroquine,"Corticosteroid (including Glucocorticoid, Methylprednisolone)",Intravenous immunoglobin,Nasal cannula,High-flow nasal cannula oxygen therapy,Oxygen therapy,Noninvasive mechanical ventilation,Invasive mechanical ventilation,ECMO,Renal replacement therapy,Interferon Alpha-1b,Thymalfasin and/or Thymosin,Sepsis,Respiratory failure or ARDS,Respiratory failure,ARDS,Hypoxemia,Heart failure,Septic shock / shock,Liver dysfunction,Coagulopathy,Acute cardiac injury,Acute kidney injury (AKI),Secondary infection/ Bacterial infection,Hypoproteinaemia,Acidosis,Hospital admission (%),ICU admission,Discharged (%),"ICU length of stay, days","Hospital length of stay, days",Days to Viral Clearance (Median),Mortality,Projected Mortality (accounting for patients not currently discharged)
Anhui,29.727272727272727,0.27221818181818186,23.181818181818183,44.948181818181816,44.948181818181816,13.509046178410681,43.55968454163999,60.54107364679062,0.1950666666666667,0.5807272727272728,0.0,0.0,1.0,0.0,0.0,0.7916263794009457,0.6192003807710615,0.3328402830702233,6.637199999999998,5.959607843137255,4.238409090909089,8.203863636363636,6.057515151515151,6.99965986394558,5.117559055118109,10.83544,0.11937835497835497,0.09048695652173912,25.414318181818178,0.22396153846153852,0.42589845341380583,0.270544927536232,0.146399501867995,0.27476042780748666,0.05855009213759212,0.06053361601085481,0.03609239669421485,0.09337297297297296,0.04201613965744401,0.1445050997782705,0.8216617815433935,37.78452631578948,38.758519936204145,0.34392467532467536,0.6785946437346435,0.3108512396694213,0.12385209090909095,0.37231930541368746,0.2072270613107821,0.5076100076394194,0.14227399999999998,0.17221285266457695,0.11272301136363642,0.2288003868471954,0.1538351168831169,0.16591219512195118,0.11436363636363636,0.0429,0.05573564213564213,0.5411708193041526,0.2149492822966506,0.32815603926589837,3.4604927782497867,5.730397350993382,4.383356377462841,7.400456287008015,1.394714243411312,1.1631818181818183,1.7955681818181817,311.5118604651163,210.01125,179.98406208425718,138.7492415871421,227.84601707684587,5.914903438530382,5.449829545454548,8.558920454545458,90.4326352128884,113.58508021390375,137.03096256684495,23.00777777777778,37.45769230769231,27.759577167019028,32.50891265597148,10.839772727272726,7.0523019182652185,15.99717355371901,6.354434782608695,65.2408287292818,93.9486505681818,36.091248585439466,24.443000000000005,35.39912280701754,1.4931712473572936,74.87160457029309,12.63846153846154,0.7563919623059867,0.873815909090909,0.45845034965034964,0.02940300751879699,0.16056028368794334,0.19820512820512823,0.0966,0.2940162962962964,0.10768675496688741,0.39349252736792,0.3098354371742907,0.47384242424242423,0.6010742014742015,0.6681219298245614,0.1864876482213438,0.5159086060606061,0.037929268292682936,0.0883377551020408,0.6237297872340425,0.15182777777777773,0.10729787234042557,0.42642737722048063,0.26040166666666664,0.24159651307596516,0.10818571428571432,0.09557045454545454,0.09818415841584159,0.18166395348837214,0.07981842105263157,0.13644062500000007,0.11160793650793653,0.17113263785394936,0.04981333333333333,0.04950666666666666,1.0,0.560234471410942,0.544673331783306,7.232181818181817,15.306274007682463,14.913725490196073,0.0,0.19039184952978055
Bavaria,12.0,0.2079,34.0,35.0,50.75159056586644,12.50512699062937,43.559684541639996,60.54107364679062,0.0,0.5503197916666666,1.0,0.0,0.0,0.0,0.0,1.0,0.5075340314136129,1.0,6.637199999999999,4.0,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.29759942028985514,0.1610394520547945,0.14639411764705887,0.06978344594594593,0.07309664179104476,0.037001818181818164,0.10271027027027027,0.04621775362318841,0.15895560975609752,0.43799999999999994,37.97568421052632,38.46796491228069,0.2547387755102041,0.5,0.188,0.375,0.27658539325842696,0.25,0.563,0.14227399999999998,0.125,0.25,0.063,0.43799999999999994,0.188,0.125,0.04290000000000001,0.062,0.94,0.2955552631578946,0.3012145539906103,5.510903426791277,6.028046357615899,4.728365019011406,7.721877394636018,1.5564820846905538,1.3256249999999998,2.0001562499999994,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,0.8457750000000002,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.27383244444444454,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.3690701149425287,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584158,0.1816639534883721,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,0.9474846625766872,0.3354298642533936,0.5123785166240408,6.955400000000001,15.356901408450709,14.913725490196079,0.16995661605206075,0.23270114942528736
Beijing,66.0,0.30475,28.666666666666668,50.937376607923085,51.75106037724428,14.003417993752914,42.76304416316999,59.495984176224745,0.15138333333333334,0.5161333333333333,0.0,0.0,1.0,0.0,0.0,0.8660787572254337,0.5139223385689354,0.37723423153692615,6.019566666666666,5.746470588235295,4.01214015151515,7.48623106060606,6.285708333333333,6.333106575963719,4.838169291338581,9.709913333333335,0.09923730158730161,0.09048695652173912,25.414318181818178,0.22396153846153852,0.4333802213001381,0.2690662801932368,0.133026301369863,0.13842941176470594,0.0699306306306306,0.06164776119402985,0.03558499999999998,0.08486603603603603,0.0516451690821256,0.14904264227642275,0.838675,37.97568421052632,38.27030994152046,0.25473877551020413,0.51495,0.23155681818181814,0.11504850000000004,0.24105692883895133,0.2121874418604651,0.2841465336134454,0.18166783333333333,0.10450324712643684,0.09827187500000005,0.12200283687943266,0.17243995238095242,0.16591219512195118,0.12420000000000002,0.0429,0.057477380952380946,0.4510482510288066,0.22166644736842098,0.22591091549295772,2.0443925233644857,5.663697571743934,4.32891001267427,7.311251596424014,1.558441910966341,1.29265625,2.019309895833333,311.5118604651163,210.01125,187.99372357723576,142.4668047882136,241.01218232044207,6.544201208981001,6.771015625000003,9.829765625000006,126.08324894514772,115.08215686274512,136.89254901960788,24.690462962962968,37.45769230769231,29.116647286821706,33.58731617647059,11.2484375,7.228165137614677,16.21736363636364,6.354434782608695,65.18062154696136,94.39097005208332,34.520311203319515,24.443,35.39912280701754,1.4045736434108524,82.3307650273224,12.731730769230767,0.7431457317073171,0.8457749999999998,0.45845034965034964,0.02940300751879699,0.16056028368794334,0.19820512820512823,0.0966,0.2940162962962964,0.10768675496688741,0.3387130890052355,0.24624331210191078,0.4612266666666666,0.4139693693693695,0.6681219298245614,0.17630837862318835,0.2510130740740741,0.037929268292682936,0.0883377551020408,0.6237297872340425,0.15182777777777773,0.10729787234042558,0.36907011494252867,0.26040166666666664,0.21146712328767123,0.10818571428571432,0.0821778409090909,0.0788881188118812,0.21605629844961247,0.07981842105263157,0.13644062500000007,0.09153928571428573,0.11433442622950823,0.04981333333333333,0.049506666666666664,0.9591666666666666,0.3074773755656109,0.4786892583120203,6.955399999999998,15.142676056338033,14.913725490196073,0.046663051337671735,0.20385057471264367
Boston,204.0,0.2022,31.0,51.95,51.95,12.75,39.2,64.7,0.19506666666666667,0.744,0.466,0.328,0.022,0.1755,0.01,0.8035890173410404,0.5075340314136129,0.3689053892215569,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.29759942028985514,0.1610394520547945,0.14639411764705887,0.06978344594594593,0.07309664179104476,0.037001818181818164,0.10271027027027027,0.04621775362318841,0.15895560975609752,0.011,36.849999999999994,38.46796491228069,0.2547387755102041,0.0795,0.009,0.12239550000000006,0.27658539325842696,0.22474976744186034,0.3399516806722689,0.14227399999999998,0.013,0.10479531250000007,0.12811489361702127,0.21269771428571435,0.1659121951219512,0.12419999999999999,0.04290000000000001,0.07663650793650793,0.5191098765432098,0.2955552631578946,0.3012145539906103,5.510903426791277,6.028046357615899,4.728365019011406,7.721877394636018,1.5564820846905538,1.3256249999999998,2.0001562499999994,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,0.8457750000000002,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.27383244444444454,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.3690701149425287,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584158,0.1816639534883721,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,0.9474846625766872,0.3354298642533936,0.5123785166240408,6.955400000000001,15.356901408450709,14.913725490196079,0.16995661605206075,0.23270114942528736
Changsha,120.25,0.337075,32.75,53.25,48.187897641466606,12.50512699062937,48.66976340623,65.40580523509297,0.19506666666666667,0.5226500000000001,0.0,0.0,0.75,0.0,0.0,0.9508972543352601,0.59565,0.3537263473053892,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.5442601659751035,0.2955,0.1189,0.16899999999999998,0.051195861486486485,0.06774748134328358,0.03555,0.056900000000000006,0.04621775362318841,0.15895560975609752,0.786725,37.97568421052632,38.46796491228069,0.2547387755102041,0.6222,0.15657500000000002,0.0736,0.27658539325842696,0.17703732558139526,0.304025,0.14227399999999998,0.08007500000000001,0.024975,0.12811489361702127,0.21269771428571435,0.1307841463414634,0.118575,0.04290000000000001,0.019159126984126983,0.5830274691358024,0.37063881578947366,0.07530363849765258,1.3777258566978192,4.829511589403975,4.728365019011406,7.721877394636018,1.1491205211726385,1.3256249999999998,2.0001562499999994,311.51186046511634,210.01124999999996,170.9976463414634,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,23.13610465116279,28.6374387254902,11.387109375,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,84.66087890625,31.204491701244816,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,0.8457750000000002,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.32379933333333344,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.09574840425531916,0.41110258620689655,0.31512625,0.21019212328767126,0.10818571428571429,0.09557045454545454,0.10048811881188117,0.14452296511627907,0.06606381578947366,0.13125546875000002,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,0.9868711656441718,0.3354298642533936,0.1280946291560102,6.955400000000001,15.356901408450709,14.913725490196079,0.25,0.23270114942528736
Changzhou,17.0,0.4045,26.0,41.666666666666664,50.751590565866444,12.50512699062937,29.333333333333332,54.5,0.19506666666666664,0.5000000000000001,0.0,0.0,1.0,0.0,0.0,0.8035890173410404,0.5075340314136129,0.36890538922155686,6.637199999999999,9.333333333333334,5.666666666666667,11.666666666666666,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523811,0.09048695652173915,25.414318181818185,0.22396153846153852,0.21866666666666668,0.29759942028985514,0.07233333333333333,0.09200000000000001,0.017666666666666667,0.07309664179104476,0.016666666666666666,0.10271027027027028,0.01966666666666667,0.017666666666666667,0.6683333333333333,37.97568421052632,38.46796491228069,0.2547387755102041,0.4453333333333333,0.08166666666666667,0.12239550000000006,0.25466666666666665,0.16333333333333333,0.057333333333333326,0.14227399999999998,0.09899999999999999,0.10479531250000007,0.12811489361702127,0.21269771428571435,0.1659121951219512,0.12419999999999999,0.042900000000000015,0.07663650793650793,1.0,0.2955552631578946,0.3012145539906103,1.0,4.633333333333334,3.6999999999999997,6.066666666666666,1.3,0.9333333333333332,1.8666666666666665,382.6666666666667,285.6666666666667,184.99058536585366,143.51270718232044,232.330773480663,6.805492227979275,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,20.53333333333333,19.333333333333332,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,4.533333333333334,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,1.0,0.0,0.0,0.0,0.19820512820512817,0.0,0.0,1.0,0.3387130890052356,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.27383244444444454,0.03792926829268293,0.08833775510204082,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.3690701149425288,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584156,0.18166395348837208,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.04981333333333334,0.049506666666666664,1.0,0.33542986425339355,1.0,6.955400000000001,13.0,13.0,0.0,0.0
Chile,922.0,0.191,22.0,34.0,50.75159056586644,12.50512699062937,29.0,47.0,0.19506666666666667,0.49,0.0,0.0,0.0,1.0,0.0,0.8035890173410404,0.5075340314136129,0.3689053892215569,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.29759942028985514,0.1610394520547945,0.14639411764705887,0.06978344594594593,0.07309664179104476,0.037001818181818164,0.10271027027027027,0.04621775362318841,0.15895560975609752,0.09,37.97568421052632,38.46796491228069,0.2547387755102041,0.52,0.57,0.52,0.27658539325842696,0.04,0.3399516806722689,0.14227399999999998,0.14943413793103458,0.47,0.12811489361702127,0.45,0.1659121951219512,0.12419999999999999,0.04290000000000001,0.07663650793650793,0.5191098765432098,0.2955552631578946,0.3012145539906103,5.510903426791277,6.028046357615899,4.728365019011406,7.721877394636018,1.5564820846905538,1.3256249999999998,2.0001562499999994,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,0.8457750000000002,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.27383244444444454,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.3690701149425287,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584158,0.1816639534883721,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,0.07,0.3354298642533936,0.5123785166240408,6.955400000000001,15.356901408450709,14.913725490196079,0.0,0.23270114942528736
Chongqing,40.42857142857143,0.38683333333333325,45.857142857142854,47.09740751834434,50.53945858026647,12.505126990629373,41.3188222916476,60.01981450961237,0.19506666666666664,0.5474684523809523,0.0,0.0,1.0,0.0,0.0,0.8322387283236997,0.3954794315632012,0.4492245794126034,8.622476190476192,5.959607843137253,4.238409090909089,8.203863636363632,6.374142857142857,6.999659863945579,5.117559055118109,10.835440000000002,0.18202766439909301,0.11689358178053831,25.414318181818185,0.24253846153846154,0.4101811894882433,0.24299958592132515,0.16455198956294848,0.125909243697479,0.06024295366795364,0.07309664179104478,0.045858008658008646,0.10271027027027027,0.022008454106280197,0.1429619512195121,0.49676856183279366,37.97568421052632,38.467964912280685,0.22796656948493688,0.49549635778635776,0.23182554112554113,0.15697121428571426,0.2810487961476726,0.16495224806201544,0.23771198479391759,0.13485390476190476,0.10924807881773406,0.08361569940476195,0.1206699088145897,0.2126977142857144,0.16591219512195116,0.11698095238095244,0.04290000000000002,0.32521216931216923,0.258094708994709,0.4551586466165414,0.0885851106639839,1.0729862038273252,5.330580258593505,4.331515480717001,7.193780332056192,1.3436420040328838,1.028690476190476,1.9862202380952378,342.52945736434106,252.91172619047606,178.70862717770035,136.71791633780583,244.5230781373323,5.946780162842338,5.603106398809526,8.7307849702381,126.59992766726947,114.25171568627454,136.70927871148464,23.007777777777783,37.630402930402944,25.653953488372096,31.171288515406157,11.915550595238091,7.047951070336391,16.419645021645028,5.66983436853002,65.59475927387533,84.36917782738092,39.59378581308043,24.442999999999994,30.561152882205512,1.4700193798449608,58.901022638563596,12.505311355311354,0.6991725319396052,0.9118714285714284,0.5358145854145855,0.025202577873254566,0.1745278622087133,0.19820512820512817,0.08280000000000001,0.25201396825396827,0.09230293282876063,0.3175296434804287,0.24197045799211406,0.4656228571428571,0.46178764478764495,0.6883426065162909,0.20481172360248442,0.20859460317460318,0.037929268292682936,0.0883377551020408,0.7218069908814589,0.2612333333333333,0.09196960486322195,0.3163458128078818,0.22320142857142855,0.07455890410958904,0.1081857142857143,0.039809199134199134,0.08415785007072137,0.08879274640088594,0.06841578947368421,0.1169491071428572,0.0413641723356009,0.11266791569086655,0.042697142857142864,0.04243428571428572,0.9924978089395267,0.2076470588235294,0.8866666666666667,6.955399999999999,15.914976525821597,14.23361344537815,0.007619047619047619,0.007619047619047619
Diamond Princess,26.0,0.2753,40.0,37.0,37.0,12.50512699062937,43.559684541639996,60.54107364679062,0.19506666666666667,0.5503197916666666,0.09761794871794874,0.019841577825159915,0.8769964360587003,0.007969298245614036,0.007665738758029979,0.8035890173410404,0.5075340314136129,0.3689053892215569,6.637199999999999,5.959607843137255,4.23840909090909,8.203863636363636,6.6031666666666675,6.9996598639455785,5.11755905511811,10.835439999999998,0.10189523809523812,0.09048695652173915,25.41431818181818,0.22396153846153852,0.49032033195020713,0.29759942028985514,0.1610394520547945,0.14639411764705887,0.06978344594594593,0.07309664179104476,0.037001818181818164,0.10271027027027027,0.04621775362318841,0.15895560975609752,0.0,37.97568421052632,38.46796491228069,0.2547387755102041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.028046357615899,4.728365019011406,7.721877394636018,1.5564820846905538,1.3256249999999998,2.0001562499999994,311.51186046511634,210.01124999999996,184.99058536585363,143.51270718232044,232.33077348066303,6.805492227979274,6.771015625,9.829765625000004,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,29.044418604651163,34.449754901960794,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,39.317966804979264,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,0.7431457317073171,0.8457750000000002,0.4584503496503497,0.029403007518796993,0.1605602836879433,0.1982051282051282,0.0966,0.29401629629629633,0.10768675496688744,0.33871308900523556,0.24624331210191086,0.4612266666666666,0.4139693693693694,0.6681219298245614,0.19233641304347823,0.27383244444444454,0.03792926829268293,0.08833775510204081,0.6237297872340425,0.15182777777777776,0.10729787234042555,0.3690701149425287,0.26040166666666664,0.2609561643835617,0.10818571428571429,0.09557045454545454,0.09818415841584158,0.1816639534883721,0.07981842105263155,0.13644062500000004,0.1116079365079365,0.13144590163934428,0.049813333333333334,0.049506666666666664,0.0,0.0,0.0,6.955400000000001,15.356901408450709,14.913725490196079,0.0,0.0
England,1.3333333333333333,0.6517,14.0,36.5,36.5,12.50512699062937,32.0,41.0,0.19506666666666664,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,4.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665,4.333333333333333,0.10189523809523811,0.09048695652173915,25.414318181818185,0.22396153846153852,0.49032033195020713,0.0,0.0,0.0,0.0,0.0,0.037001818181818164,0.10271027027027028,0.0,0.0,0.5,37.300000000000004,37.300000000000004,0.2547387755102041,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.12419999999999999,0.042900000000000015,0.0,1.0,0.0,0.0,0.0,6.95,5.766666666666667,8.133333333333333,0.85,0.7666666666666666,0.9333333333333335,311.51186046511634,210.01124999999993,184.99058536585366,143.51270718232044,232.330773480663,5.536666666666666,4.489999999999999,6.580000000000001,119.12487341772152,109.38573529411765,130.82632352941178,23.007777777777775,37.45769230769232,61.0,56.0,11.248437500000001,7.228165137614675,16.217363636363636,6.3544347826086955,65.24082872928179,96.74351562499999,27.5,24.443,35.39912280701754,2.039360465116279,82.3307650273224,12.742307692307692,1.0,0.0,0.0,0.0,0.0,0.19820512820512817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6681219298245614,0.0,0.0,0.0,0.0,0.6237297872340425,0.15182777777777776,0.0,0.0,0.0,0.0,0.10818571428571429,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,6.955400000000001,6.5,8.5,0.0,0.0
